"";"short_name";"preferred_foot";"team_position";"attacking_crossing";"attacking_finishing";"attacking_heading_accuracy";"attacking_short_passing";"attacking_volleys";"skill_dribbling";"skill_curve";"skill_fk_accuracy";"skill_long_passing";"skill_ball_control";"movement_acceleration";"movement_sprint_speed";"movement_agility";"movement_reactions";"movement_balance";"power_shot_power";"power_jumping";"power_stamina";"power_strength";"power_long_shots";"mentality_aggression";"mentality_interceptions";"mentality_positioning";"mentality_vision";"mentality_penalties";"mentality_composure";"defending_marking";"defending_standing_tackle";"defending_sliding_tackle";"goalkeeping_diving";"goalkeeping_handling";"goalkeeping_kicking";"goalkeeping_positioning";"goalkeeping_reflexes"
"40";"S. Mané";"Right";"LW";74;87;81;81;75;89;76;64;71;87;95;93;92;90;86;84;86;85;67;77;75;35;90;83;71;84;42;42;38;10;10;15;7;14
"41";"A. Laporte";"Left";"LCB";58;45;86;81;40;63;61;69;80;77;61;66;59;87;60;68;78;78;85;47;79;87;54;65;44;85;88;89;88;10;11;5;14;5
"42";"Bernardo Silva";"Left";"RW";85;78;51;86;69;92;84;67;74;92;85;78;94;85;92;74;51;93;54;75;69;49;85;85;68;87;49;59;40;9;10;14;12;9
"43";"Casemiro";"Right";"CDM";58;64;76;83;61;69;63;74;82;78;58;66;62;86;66;86;87;88;90;81;89;86;69;77;66;84;84;87;86;13;14;16;12;12
"44";"H. Son";"Right";"LM";81;86;65;83;81;88;85;70;70;87;86;89;86;89;76;88;63;87;62;90;60;39;88;81;71;87;48;34;33;11;13;13;6;10
"45";"Fernandinho";"Right";"CDM";68;69;66;86;74;77;70;72;83;82;68;64;69;89;77;83;78;79;76;78;87;89;70;78;61;81;87;86;80;12;11;5;13;7
"46";"Thiago Silva";"Right";"LCB";60;40;81;80;61;67;62;61;80;80;60;64;67;82;67;71;90;71;81;65;76;90;59;70;60;86;88;88;85;9;12;5;9;10
"47";"K. Benzema";"Right";"CF";75;84;83;85;83;86;81;73;72;90;78;74;78;85;69;82;77;79;80;76;65;39;88;86;82;87;47;24;18;13;11;5;5;7
"48";"J. Vertonghen";"Left";"LCB";72;56;80;79;52;71;66;70;74;77;60;65;60;85;60;80;85;75;79;66;84;89;56;68;66;84;89;87;88;6;10;9;12;7
"49";"D. Mertens";"Right";"SUB";79;86;40;82;70;91;82;79;74;89;93;83;94;88;92;80;59;73;39;81;59;36;87;83;79;81;25;40;40;7;10;8;10;4
"50";"M. Hummels";"Right";"LCB";64;55;87;81;60;68;65;53;85;81;46;55;64;87;59;71;68;65;85;51;71;89;56;79;68;89;90;89;86;15;6;10;5;6
"51";"T. Alderweireld";"Right";"RCB";64;45;82;79;38;62;63;69;85;75;61;66;59;87;50;78;84;78;79;58;81;88;54;62;58;86;90;90;86;16;6;14;16;14
"52";"Jordi Alba";"Left";"LB";87;73;70;84;60;81;80;63;79;85;91;90;89;85;85;64;81;92;61;66;77;83;83;78;59;82;74;83;84;13;15;13;6;13
"53";"Thiago";"Right";"CDM";78;69;54;90;86;90;85;77;87;91;76;64;91;86;88;76;76;75;59;79;56;83;79;86;75;87;67;67;71;6;11;7;9;13
"54";"K. Navas";"Right";"SUB";11;15;11;30;11;16;11;15;37;19;54;53;60;84;61;56;74;39;75;13;32;20;16;68;25;67;28;14;14;90;81;75;82;90
"55";"L. Insigne";"Right";"LS";86;77;59;87;74;90;87;77;78;93;94;85;94;84;93;79;52;72;40;85;34;26;85;89;68;83;49;24;22;8;4;14;9;10
"56";"L. Sané";"Left";"SUB";83;81;72;80;85;88;83;82;64;85;93;96;86;81;80;87;64;78;70;78;61;34;84;82;71;80;36;32;35;8;12;9;9;14
"57";"Marquinhos";"Right";"RCB";68;33;84;82;31;64;55;32;82;79;72;76;69;85;68;61;89;76;75;35;80;86;59;68;47;86;86;87;87;6;6;12;10;13
"58";"M. Škriniar";"Right";"LCB";40;42;82;73;40;67;34;30;69;69;70;69;48;83;51;50;78;75;85;30;86;86;30;57;56;81;92;87;83;10;13;12;8;12
"59";"M. Verratti";"Right";"RCM";75;60;55;90;64;90;74;64;89;89;69;61;91;85;94;56;64;77;52;58;89;84;71;87;64;95;78;82;83;12;12;15;15;10
"60";"S. Umtiti";"Left";"SUB";61;51;79;80;65;64;72;62;73;77;66;72;62;82;66;83;88;71;86;74;82;87;51;58;61;82;87;88;85;15;10;14;12;15
"61";"W. Szczęsny";"Right";"GK";12;12;16;32;14;11;16;14;36;22;51;47;55;82;51;55;71;45;65;14;40;15;14;48;18;65;20;13;12;85;82;73;86;88
"62";"J. Kimmich";"Right";"RB";91;66;74;87;67;83;85;61;85;85;77;68;84;87;84;76;79;94;66;71;86;80;80;84;44;85;78;80;79;8;15;7;15;15
"63";"Isco";"Right";"SUB";78;79;55;84;67;92;88;76;80;93;74;68;85;76;90;69;61;62;59;84;58;61;79;87;76;86;58;64;51;10;8;12;15;6
"64";"Roberto Firmino";"Right";"CF";72;85;78;86;81;88;80;65;76;88;78;77;80;86;81;81;81;88;74;76;73;58;87;86;72;88;60;64;42;8;11;9;6;10
"65";"I. Rakitić";"Right";"RCM";84;78;59;86;84;80;88;82;90;87;64;61;73;80;62;84;34;79;71;85;67;79;77;85;82;80;76;73;72;14;11;12;5;9
"66";"M. Pjanić";"Right";"CDM";80;56;60;91;72;86;86;92;87;89;69;67;75;84;81;78;60;79;61;82;70;78;68;88;79;86;78;76;70;7;7;13;7;8
"67";"A. Di María";"Left";"LW";86;76;51;83;77;87;88;88;80;86;85;84;94;82;77;83;72;78;60;84;73;42;84;86;73;84;41;55;52;10;7;11;12;11
"68";"L. Bonucci";"Right";"RCB";44;48;84;77;58;69;56;61;85;75;55;60;61;84;55;74;85;68;82;65;82;90;38;74;70;86;90;86;80;2;2;3;2;4
"69";"Coutinho";"Right";"LCM";79;77;48;84;78;90;90;86;82;91;84;75;92;82;93;82;59;76;61;88;59;49;84;86;70;77;55;54;47;12;7;9;14;6
"70";"Parejo";"Right";"RCM";84;80;61;91;72;79;89;90;88;85;49;35;64;78;72;79;49;76;71;82;58;81;81;86;83;85;69;68;65;5;9;12;14;8
"71";"T. Müller";"Right";"SUB";79;87;81;81;84;75;81;59;72;82;69;75;74;91;71;78;77;86;67;80;61;58;92;85;60;84;44;57;46;6;7;11;14;14
"72";"C. Immobile";"Right";"ST";55;87;81;74;85;83;70;51;49;83;76;83;75;87;63;86;77;79;73;80;77;40;91;65;78;81;34;33;32;6;8;15;12;6
"73";"A. Lacazette";"Right";"ST";68;87;74;81;82;86;74;74;69;86;82;82;85;86;85;86;76;79;73;78;72;42;87;78;84;86;29;42;30;11;6;9;5;6
"74";"M. de Ligt";"Right";"SUB";52;50;85;76;40;66;48;55;74;74;61;72;56;83;60;82;84;77;88;64;82;82;44;63;40;82;86;82;80;12;11;11;12;10
"75";"G. Donnarumma";"Right";"GK";12;12;12;34;8;28;12;14;24;28;46;54;64;79;38;56;72;34;72;18;30;26;14;50;24;68;20;14;16;90;80;74;80;90
"76";"F. de Jong";"Right";"LCM";75;64;66;90;69;88;84;64;86;89;80;78;84;87;79;68;76;82;74;62;72;81;70;86;45;90;75;75;77;7;13;10;10;9
"77";"R. Varane";"Right";"RCB";36;40;83;75;42;55;46;52;76;77;79;86;63;83;38;52;79;72;86;53;77;82;44;59;43;84;87;86;85;11;11;9;5;14
"78";"N. Süle";"Right";"RCB";34;22;86;78;33;43;28;30;69;63;53;87;34;81;33;77;40;66;94;62;83;81;26;40;32;75;85;89;87;15;7;14;7;15
"79";"S. Milinković-Savić";"Right";"RDM";64;80;86;85;74;86;78;75;85;87;66;67;65;80;59;83;85;85;88;80;73;78;79;85;56;82;75;77;72;7;10;7;16;7
"80";"Rodri";"Right";"SUB";63;64;75;85;59;76;65;54;82;82;68;66;69;82;72;74;69;84;80;76;76;84;75;82;46;85;82;84;78;10;10;7;14;8
"81";"Saúl";"Left";"LCM";69;78;83;85;76;81;72;60;83;85;71;70;73;82;69;82;78;87;77;81;69;79;82;82;55;83;77;78;77;7;13;12;10;9
"82";"Fabinho";"Right";"CDM";75;66;75;83;47;76;71;53;82;82;67;69;66;84;66;78;75;88;81;65;85;88;70;78;91;84;84;86;85;13;12;6;8;8
"83";"A. Robertson";"Left";"LB";89;57;63;79;32;78;78;30;71;81;83;86;78;84;74;74;62;94;65;65;80;82;76;77;55;79;81;83;80;11;8;10;7;14
"84";"J. Giménez";"Right";"RCB";47;37;81;69;30;50;36;44;62;60;67;70;54;79;39;72;89;64;88;48;89;85;24;27;38;75;88;86;86;9;11;7;10;15
"85";"C. Lenglet";"Left";"LCB";55;39;82;81;37;57;59;31;75;76;77;74;62;84;60;58;86;75;82;46;80;87;54;66;49;82;90;83;81;10;10;9;12;7
"86";"Bruno Fernandes";"Right";"RCM";86;77;58;86;86;85;86;87;87;87;79;76;78;84;79;89;72;92;67;88;70;73;81;88;87;86;66;64;57;12;14;15;8;14
"87";"A. Lopes";"Left";"GK";19;18;16;32;13;15;15;14;31;21;63;64;67;84;62;56;82;36;73;18;43;25;9;48;16;65;13;15;13;87;80;75;84;89
"88";"P. Gulácsi";"Right";"GK";16;10;23;29;10;19;18;11;25;25;42;44;41;82;42;61;67;35;74;12;34;23;11;42;24;45;25;16;20;84;86;81;84;86
"89";"R. Bürki";"Right";"GK";15;8;17;37;13;12;13;12;24;23;44;54;49;83;52;56;74;36;74;14;35;18;10;50;20;58;11;13;16;86;80;74;83;89
"90";"R. Lukaku";"Left";"LS";72;84;85;75;77;78;78;66;71;70;64;84;55;84;46;87;71;75;95;74;71;27;86;73;78;81;30;30;30;8;15;14;7;10
"91";"K. Manolas";"Right";"RCB";27;25;80;60;16;54;30;10;61;65;81;83;68;82;60;40;86;72;82;12;86;86;25;22;26;85;87;87;89;8;6;8;15;12
"92";"Neto";"Right";"SUB";11;15;14;36;12;19;12;13;41;24;56;52;59;79;49;59;83;41;63;20;40;15;11;42;22;64;17;14;15;86;81;79;82;82
"93";"D. Alaba";"Left";"LB";82;63;74;82;68;79;78;85;79;82;79;86;78;84;78;85;83;85;74;80;69;82;76;77;79;80;80;80;80;5;7;14;15;9
"94";"M. Icardi";"Right";"RES";46;89;88;73;85;75;58;45;54;80;76;75;75;85;76;84;94;67;73;70;56;22;92;64;82;79;45;24;20;13;9;5;7;9
"95";"Carvajal";"Right";"RB";84;41;70;83;34;78;74;47;74;84;79;83;80;84;82;68;77;90;74;36;84;83;75;74;45;82;83;83;85;13;13;15;9;15
"96";"H. Ziyech";"Left";"RAM";84;73;53;86;74;83;90;78;89;83;83;77;86;84;78;80;37;84;58;77;73;52;82;89;67;77;44;56;40;11;7;11;8;14
"97";"Z. Ibrahimović";"Right";"ST";70;86;83;77;88;77;80;78;73;84;57;55;72;82;39;90;68;59;87;88;84;20;91;84;89;90;28;37;24;13;15;10;9;12
"98";"A. Gómez";"Right";"CAM";81;79;38;81;72;85;79;79;74;85;94;85;92;81;94;76;70;70;46;79;56;40;82;85;72;84;50;30;34;8;11;12;9;6
"99";"G. Higuaín";"Right";"SUB";68;88;77;75;88;80;74;62;60;84;62;64;72;86;69;86;78;60;84;80;50;20;90;75;70;85;35;22;18;5;12;7;5;10
"100";"B. Matuidi";"Left";"SUB";74;60;68;83;72;76;60;52;77;79;77;73;83;84;79;78;84;90;74;67;86;86;72;74;56;82;85;84;86;8;11;5;10;14
"101";"G. Bale";"Left";"SUB";86;84;84;81;85;83;90;87;80;84;90;91;79;80;65;92;86;73;80;90;65;59;85;79;76;85;54;55;52;15;15;11;5;6
"102";"Marcelo";"Left";"LB";89;73;75;85;63;89;84;67;77;92;82;80;85;85;86;82;77;79;78;70;81;81;83;80;59;85;71;79;82;12;5;5;5;9
"103";"A. Witsel";"Right";"LDM";69;71;81;89;77;78;69;68;84;84;67;77;76;85;67;78;77;82;82;74;79;80;75;80;76;92;82;85;83;5;7;7;10;7
"104";"Alex Sandro";"Left";"LB";84;55;76;81;68;80;78;59;71;81;81;85;78;84;77;80;79;91;78;72;82;82;70;70;60;82;81;84;84;7;7;9;12;5
"105";"Iago Aspas";"Left";"RS";80;88;78;79;83;86;80;76;68;85;80;76;87;85;72;79;66;71;60;82;63;39;86;79;82;85;39;21;18;12;16;9;12;13
"106";"Koke";"Right";"RM";86;72;61;89;56;82;85;76;87;85;70;67;71;87;80;84;63;92;75;81;79;79;82;85;59;84;74;78;64;14;12;5;10;13
"107";"J. Rodríguez";"Left";"SUB";90;83;62;86;90;85;89;86;83;90;57;54;80;84;76;86;46;65;64;92;60;55;80;86;81;87;52;41;44;15;15;15;5;14
"108";"Allan";"Right";"RCM";70;74;59;86;56;84;65;49;79;84;79;71;82;89;86;73;69;94;79;69;90;89;79;80;53;85;88;88;86;13;13;5;5;8
"109";"J. Sancho";"Right";"RM";78;78;37;83;80;92;81;48;59;88;89;87;91;84;90;68;51;77;59;62;43;29;78;83;57;80;32;45;34;7;11;10;11;13
"110";"K. Havertz";"Left";"RF";73;81;74;85;80;84;79;53;78;87;77;89;78;82;73;73;69;82;65;75;41;38;83;82;69;84;39;46;38;6;8;11;10;12
"111";"O. Dembélé";"Left";"SUB";84;79;43;82;76;89;82;64;76;85;94;93;89;78;83;83;59;69;52;78;54;36;78;78;75;82;42;30;33;6;6;14;10;13
"112";"Kepa";"Right";"GK";25;11;18;51;18;10;25;19;53;16;34;33;41;78;39;65;71;37;51;14;18;21;15;57;24;63;19;18;16;84;82;86;80;85
"113";"João Cancelo";"Right";"SUB";86;58;68;81;62;85;82;69;75;84;89;90;82;84;79;80;72;92;60;68;73;78;78;78;46;82;79;80;80;6;9;15;14;14
"114";"D. Alli";"Right";"CAM";68;82;83;84;79;83;75;68;80;86;68;76;75;86;62;78;71;89;72;80;84;74;88;83;74;87;70;70;63;7;6;9;11;8
"115";"L. Hernández";"Left";"LCB";78;53;82;79;46;65;59;39;63;79;79;83;70;85;68;62;85;83;79;51;86;83;62;63;42;76;81;84;86;10;7;8;14;10
"116";"Arthur";"Right";"SUB";70;69;58;88;63;86;74;60;82;88;71;67;79;83;89;74;68;73;67;73;75;75;75;86;69;81;76;76;70;6;13;13;11;12
"117";"M. Depay";"Right";"LW";83;78;65;80;74;84;85;88;74;85;87;87;81;79;79;87;74;79;80;81;75;28;83;85;71;78;29;31;20;8;14;6;12;10
"118";"L. Goretzka";"Right";"SUB";75;76;80;84;68;81;76;75;79;84;84;78;76;84;70;79;74;86;75;83;80;79;79;82;60;80;72;74;73;13;8;15;11;9
"119";"J. Brandt";"Right";"SUB";78;79;53;86;78;86;77;59;80;86;78;86;81;83;78;81;63;78;74;80;43;39;80;84;54;82;39;42;29;11;16;11;8;9
"120";"K. Coman";"Right";"LW";79;76;52;78;77;87;84;70;72;87;94;91;88;84;85;80;73;69;64;73;36;23;83;79;70;76;29;27;21;5;3;5;3;5
"121";"S. Gnabry";"Right";"RW";76;81;44;79;83;87;70;62;69;83;92;89;86;82;88;86;64;74;69;81;63;38;82;77;68;78;45;42;45;14;10;10;9;7
"122";"N. Fekir";"Left";"RM";83;82;49;83;77;90;81;80;75;89;79;77;82;78;91;84;64;74;82;82;73;28;81;81;74;89;31;37;25;15;9;8;14;15
"123";"B. Leno";"Right";"GK";9;9;13;45;10;16;9;8;42;30;55;56;52;79;44;59;73;43;68;14;28;22;7;54;23;66;27;15;18;83;81;78;84;85
"124";"Luis Alberto";"Right";"CM";76;77;49;88;76;86;86;81;87;88;75;68;81;80;74;77;54;70;65;76;29;42;80;85;56;72;48;56;41;6;8;6;12;11
"125";"Alex Telles";"Left";"LB";89;65;74;84;67;82;87;79;87;83;84;85;73;83;70;80;80;91;68;76;78;80;76;76;81;80;80;81;79;13;8;12;11;14
"126";"J. Pavlenka";"Right";"GK";11;16;14;28;19;12;10;14;17;19;35;37;39;82;27;53;36;20;68;17;22;13;14;25;18;39;12;10;14;86;79;70;80;88
"127";"S. de Vrij";"Right";"CB";49;25;80;73;27;66;45;16;71;71;65;66;62;81;59;65;76;62;78;60;78;85;32;64;41;82;88;87;84;8;10;7;14;13
"128";"Felipe Anderson";"Right";"RM";81;74;44;81;73;90;77;69;76;88;89;89;89;77;87;86;37;74;55;84;67;69;76;81;53;84;47;59;46;12;10;9;5;7
"129";"Pepe";"Right";"RCB";46;46;82;71;23;58;44;47;61;62;64;70;63;82;48;63;88;82;83;56;92;84;40;48;57;79;86;85;82;8;15;5;9;10
"130";"João Moutinho";"Right";"LCM";81;73;70;87;76;81;84;81;85;85;60;53;75;76;85;76;72;78;60;79;71;72;74;86;70;88;71;72;67;13;15;15;13;13
"131";"S. Ruffier";"Right";"GK";11;11;12;33;13;12;17;12;34;15;45;50;51;79;55;56;72;37;76;11;31;25;12;49;25;66;13;12;11;82;84;75;85;82
"132";"S. Sirigu";"Right";"GK";13;10;11;23;12;15;11;11;28;18;50;51;52;79;55;57;68;34;66;14;34;20;10;55;19;62;14;11;13;84;80;76;84;82
"133";"M. Hamšík";"Right";"CAM";78;74;74;86;77;84;80;70;83;85;70;68;77;88;67;82;70;81;67;78;60;72;85;86;70;84;75;70;62;8;6;4;14;14
"134";"Sokratis";"Right";"RCB";47;44;85;65;46;58;29;35;54;60;66;76;54;81;64;77;86;69;87;48;88;76;49;45;24;81;85;86;86;6;8;5;12;5
"135";"Lucas Leiva";"Right";"LDM";63;62;72;82;59;77;74;47;81;79;64;61;77;82;80;77;81;82;63;66;83;87;66;81;61;86;82;84;81;10;8;8;5;6
"136";"M. Özil";"Left";"CAM";83;73;51;89;80;84;84;76;82;89;72;69;77;83;71;70;45;67;56;69;44;24;81;90;67;83;24;16;19;6;14;10;6;14
"137";"Javi Martínez";"Right";"SUB";58;43;87;76;58;59;46;45;74;71;45;50;52;85;49;76;85;72;85;62;91;88;51;74;52;80;85;86;85;5;12;9;11;8
"138";"Y. Sommer";"Right";"GK";13;13;10;40;8;15;12;13;31;25;48;54;55;81;58;61;73;45;68;12;38;21;15;58;24;57;9;19;12;79;85;81;80;87
"139";"E. Džeko";"Right";"ST";63;88;83;77;77;76;65;54;72;85;61;60;56;83;36;86;64;72;81;79;58;50;89;75;67;83;58;28;16;9;11;13;15;15
"140";"G. Wijnaldum";"Right";"LCM";69;70;74;85;73;85;76;67;79;85;79;76;81;83;84;78;79;93;72;71;74;78;78;78;74;86;76;78;69;16;6;14;12;6
"141";"I. Perišić";"Right";"SUB";83;79;80;78;81;82;73;75;74;85;83;85;77;79;74;84;84;89;76;78;65;69;83;76;76;80;64;52;54;6;7;10;9;6
"142";"M. Mandžukić";"Right";"ST";72;85;90;75;86;76;64;49;67;79;61;73;65;88;55;83;85;81;87;61;88;66;90;74;76;80;59;64;60;10;8;5;8;15
"143";"A. Vidal";"Right";"SUB";76;75;82;82;78;76;76;68;81;83;68;67;73;86;75;84;85;86;83;82;93;85;83;82;81;83;82;87;88;4;2;4;2;4
"144";"J. Boateng";"Right";"SUB";69;34;85;75;52;64;53;31;83;70;64;67;55;82;52;78;73;66;91;58;81;80;47;75;46;84;83;87;86;7;12;15;6;5
"145";"Azpilicueta";"Right";"RB";81;46;75;80;51;69;68;58;80;77;73;68;72;86;73;68;77;83;70;60;84;86;62;74;66;78;85;87;86;13;9;10;6;5
"146";"José Callejón";"Right";"RM";82;78;65;80;84;82;73;65;51;85;88;90;85;82;80;78;71;90;54;80;54;40;88;78;62;79;64;32;32;8;5;14;11;11
"147";"I. Gündoğan";"Right";"SUB";78;71;50;88;75;84;85;74;85;88;67;66;77;85;77;77;61;71;73;74;70;77;78;86;76;87;75;74;67;11;14;5;5;13
"148";"Paulinho";"Right";"LCM";64;81;85;83;75;80;66;72;80;84;74;71;70;82;72;83;92;92;82;80;81;80;84;79;71;81;75;79;75;16;16;11;6;8
"149";"K. Walker";"Right";"RB";81;51;74;78;57;79;76;71;75;78;87;94;66;83;70;86;83;89;77;69;78;81;68;69;63;75;78;84;83;12;6;16;15;8
"150";"Canales";"Left";"RCM";79;80;46;84;63;82;81;79;82;83;77;78;77;81;70;78;35;77;67;81;55;50;83;87;72;80;60;47;43;15;12;16;13;12
"151";"Douglas Costa";"Left";"SUB";82;64;50;83;76;92;84;78;65;91;95;93;93;80;91;86;60;71;58;80;55;48;74;80;77;80;45;38;34;13;15;9;12;5
